id,lesson,kana,kanji,romaji,meaning,category,source
1,1,わたし,私,watashi,saya,core,mnn
2,1,あなた,,anata,anda/kamu (jarang dipakai jika tahu nama),core,mnn
3,1,あのひと,あの人,ano hito,orang itu,core,mnn
4,1,あのかた,あの方,ano kata,beliau (lebih sopan dari "ano hito"),core,mnn
5,1,みなさん,,minasan,semua orang,core,mnn
6,1,〜さん,,~san,Sodara/Tuan/Nyonya/Bapak/Ibu (sapaan/akhiran untuk mengekspresikan kesopanan yang diletakan dibelakang nama orang),core,mnn
7,1,〜ちゃん,,~chan,sapaan akrab untuk anak laki-laki/perempuan sebagai pengganti "さん" dan diletakan dibelakang nama anak,core,mnn
8,1,〜くん,,~kun,sapaan untuk laki-laki,core,mnn
9,1,ひと,人,hito,orang,core,mnn
10,1,せんせい,先生,sensei,guru/dosen (tidak dipakai jika menyebutkan pekerjaan sendiri),core,mnn
11,1,きょうし,教師,kyoushi,guru/dosen (profesi),core,mnn
12,1,がくせい,学生,gakusei,pelajar/mahasiswa,core,mnn
13,1,かいしゃいん,会社員,kaishain,karyawan perusahaan,core,mnn
14,1,しゃいん,社員,shain,karyawan perusahaan (dipakai bersama dengan nama perusahaan. Contoh: "IMC の しゃいん"),core,mnn
15,1,ぎんこういん,銀行員,ginkouin,pegawai bank,core,mnn
16,1,いしゃ,医者,isha,dokter,core,mnn
17,1,けんきゅうしゃ,研究者,kenkyuusha,peneliti,core,mnn
18,1,だいがく,大学,daigaku,universitas,core,mnn
19,1,びょういん,病院,byouin,rumah sakit,core,mnn
20,1,だれ,,dare,siapa,core,mnn
21,1,どなた,,donata,siapa (lebih sopan dari "dare"),core,mnn
22,1,〜人,〜じん,~jin,orang/bangsa (akhiran negara),core,mnn
23,1,〜さい,〜歳,~sai,umur (akhiran usia),core,mnn
24,1,なんさい,何歳,nansai,berapa umur,core,mnn
25,1,おいくつ,,oikutsu,berapa umur (lebih sopan),core,mnn
26,1,〜からきました,〜から来ました,~kara kimashita,berasal dari ~,core,mnn

27,1,こちら,,kochira,ini (sopan),reference,mnn
28,1,そちら,,sochira,itu (dekat lawan bicara, sopan),reference,mnn
29,1,あちら,,achira,itu (jauh, sopan),reference,mnn
30,1,どちら,,dochira,yang mana (sopan),reference,mnn
31,1,この,,kono,ini (penunjuk benda),reference,mnn
32,1,その,,sono,itu (penunjuk benda),reference,mnn
33,1,あの,,ano,itu (penunjuk benda jauh),reference,mnn
34,1,どの,,dono,yang mana (penunjuk benda),reference,mnn
35,1,にほん,日本,nihon,Jepang,reference,mnn
36,1,インドネシア,,indoneshia,Indonesia,reference,mnn
37,1,アメリカ,,amerika,Amerika Serikat,reference,mnn
38,1,ちゅうごく,中国,chuugoku,Tiongkok,reference,mnn
39,1,かんこく,韓国,kankoku,Korea Selatan,reference,mnn
40,1,かいしゃ,会社,kaisha,perusahaan,reference,mnn
41,1,かぞく,家族,kazoku,keluarga,reference,mnn
42,1,しごと,仕事,shigoto,pekerjaan,reference,mnn
43,1,なまえ,名前,namae,nama,reference,mnn

44,1,はじめまして,,hajimemashite,ungkapan saat perkenalan pertama,info,mnn
45,1,どうぞよろしくおねがいします,どうぞよろしくお願いします,douzo yoroshiku onegaishimasu,mohon kerja samanya,info,mnn
46,1,〜です,,~desu,akhiran kalimat sopan,info,mnn
47,1,〜ではありません,,~dewa arimasen,bukan (bentuk sopan),info,mnn
48,1,〜ですか,,~desu ka,penanda kalimat tanya,info,mnn
49,1,はい,,hai,ya,info,mnn
